Date(d.m.y);Temperature (°F);Dew Point (°F);Humidity (%);Wind Speed (mph);Pressure (in);;;;;;;;;;;;;;;;;;;;;;
2.11.2010;62.6;38.1;46.7;4.0;29.9;;;;;;;;;;;;;;;;;;;;;;
3.11.2010;64.2;35.9;44.7;3.6;30.1;;;;;;;;;;;;;;;;;;;;;;
4.11.2010;63.8;35.8;44.7;3.0;30.1;;;;;;;;;;;;;;;;;;;;;;
5.11.2010;64.1;38.6;45.7;3.5;30.0;;;;;;;;;;;;;;;;;;;;;;
6.11.2010;64.9;38.0;48.9;2.5;29.9;;;;;;;;;;;;;;;;;;;;;;
7.11.2010;64.9;50.1;61.1;4.0;29.9;;;;;;;;;;;;;;;;;;;;;;
8.11.2010;64.9;50.5;63.6;3.1;29.9;;;;;;;;;;;;;;;;;;;;;;
9.11.2010;66.0;38.8;45.6;4.1;29.9;;;;;;;;;;;;;;;;;;;;;;
10.11.2010;68.2;34.1;33.5;4.3;30.0;;;;;;;;;;;;;;;;;;;;;;
11.11.2010;65.8;35.7;43.9;2.6;30.0;;;;;;;;;;;;;;;;;;;;;;
12.11.2010;64.4;35.3;46.3;2.7;29.8;;;;;;;;;;;;;;;;;;;;;;
13.11.2010;65.5;41.2;45.5;2.4;29.8;;;;;;;;;;;;;;;;;;;;;;
14.11.2010;69.4;43.0;43.5;2.6;29.9;;;;;;;;;;;;;;;;;;;;;;
15.11.2010;70.6;45.6;43.7;2.8;30.0;;;;;;;;;;;;;;;;;;;;;;
16.11.2010;70.5;42.2;40.1;4.0;29.9;;;;;;;;;;;;;;;;;;;;;;
17.11.2010;67.6;37.1;37.9;3.2;29.9;;;;;;;;;;;;;;;;;;;;;;
18.11.2010;69.8;33.8;31.3;3.7;30.0;;;;;;;;;;;;;;;;;;;;;;
19.11.2010;67.5;38.6;41.1;3.5;30.0;;;;;;;;;;;;;;;;;;;;;;
20.11.2010;63.7;44.3;55.3;3.0;29.9;;;;;;;;;;;;;;;;;;;;;;
21.11.2010;63.5;53.2;70.9;4.0;29.9;;;;;;;;;;;;;;;;;;;;;;
22.11.2010;62.1;53.0;74.4;2.7;29.2;;;;;;;;;;;;;;;;;;;;;;
23.11.2010;62.4;53.3;73.8;2.6;29.9;;;;;;;;;;;;;;;;;;;;;;
24.11.2010;61.9;54.7;77.8;4.4;29.9;;;;;;;;;;;;;;;;;;;;;;
25.11.2010;63.4;54.7;74.6;2.7;29.9;;;;;;;;;;;;;;;;;;;;;;
26.11.2010;63.5;53.4;71.2;2.8;30.0;;;;;;;;;;;;;;;;;;;;;;
27.11.2010;63.5;52.5;69.7;3.0;30.0;;;;;;;;;;;;;;;;;;;;;;
28.11.2010;62.9;48.1;62.9;2.6;30.1;;;;;;;;;;;;;;;;;;;;;;
29.11.2010;63.0;45.2;58.5;2.4;30.0;;;;;;;;;;;;;;;;;;;;;;
30.11.2010;62.4;43.5;53.6;2.5;30.0;;;;;;;;;;;;;;;;;;;;;;
1.12.2010;60.4;44.4;58.8;1.9;30.0;;;;;;;;;;;;;;;;;;;;;;
2.12.2010;61.2;41.5;52.5;1.9;30.1;;;;;;;;;;;;;;;;;;;;;;
3.12.2010;64.3;44.4;52.6;2.3;30.1;;;;;;;;;;;;;;;;;;;;;;
4.12.2010;64.7;46.2;55.6;2.9;30.0;;;;;;;;;;;;;;;;;;;;;;
5.12.2010;62.6;43.7;56.9;2.3;29.9;;;;;;;;;;;;;;;;;;;;;;
6.12.2010;58.6;52.0;79.5;6.5;29.8;;;;;;;;;;;;;;;;;;;;;;
7.12.2010;56.3;49.8;81.1;3.3;29.9;;;;;;;;;;;;;;;;;;;;;;
8.12.2010;55.9;45.9;72.5;2.0;30.0;;;;;;;;;;;;;;;;;;;;;;
9.12.2010;55.5;43.6;69.3;2.5;29.9;;;;;;;;;;;;;;;;;;;;;;
10.12.2010;53.6;48.0;81.9;6.9;29.7;;;;;;;;;;;;;;;;;;;;;;
11.12.2010;53.9;51.5;91.1;10.8;29.2;;;;;;;;;;;;;;;;;;;;;;
12.12.2010;47.6;44.8;88.6;10.5;29.3;;;;;;;;;;;;;;;;;;;;;;
13.12.2010;50.7;43.2;75.6;5.8;29.8;;;;;;;;;;;;;;;;;;;;;;
14.12.2010;49.3;45.7;87.4;13.0;29.9;;;;;;;;;;;;;;;;;;;;;;
15.12.2010;51.8;48.3;89.3;8.8;29.9;;;;;;;;;;;;;;;;;;;;;;
16.12.2010;56.0;43.4;62.9;12.4;29.9;;;;;;;;;;;;;;;;;;;;;;
17.12.2010;52.9;48.6;86.6;10.7;29.7;;;;;;;;;;;;;;;;;;;;;;
18.12.2010;53.2;48.3;84.1;5.1;29.9;;;;;;;;;;;;;;;;;;;;;;
19.12.2010;55.1;51.0;86.8;4.7;30.1;;;;;;;;;;;;;;;;;;;;;;
20.12.2010;54.1;47.0;79.5;3.3;30.2;;;;;;;;;;;;;;;;;;;;;;
21.12.2010;54.9;43.9;68.6;4.5;30.2;;;;;;;;;;;;;;;;;;;;;;
22.12.2010;53.9;42.3;68.8;3.2;30.1;;;;;;;;;;;;;;;;;;;;;;
23.12.2010;52.4;38.0;69.7;2.5;30.0;;;;;;;;;;;;;;;;;;;;;;
24.12.2010;52.5;42.8;72.8;3.2;30.0;;;;;;;;;;;;;;;;;;;;;;
25.12.2010;52.5;43.0;73.3;2.8;30.0;;;;;;;;;;;;;;;;;;;;;;
26.12.2010;54.2;46.4;76.4;2.9;30.1;;;;;;;;;;;;;;;;;;;;;;
27.12.2010;55.7;47.5;76.8;2.1;30.0;;;;;;;;;;;;;;;;;;;;;;
28.12.2010;57.5;44.9;67.8;3.2;29.9;;;;;;;;;;;;;;;;;;;;;;
29.12.2010;58.0;31.9;48.7;7.8;29.9;;;;;;;;;;;;;;;;;;;;;;
30.12.2010;58.1;29.9;36.3;17.1;29.9;;;;;;;;;;;;;;;;;;;;;;
31.12.2010;52.3;39.0;61.8;6.0;29.9;;;;;;;;;;;;;;;;;;;;;;
1.01.2011;48.8;33.3;66.2;3.4;30.0;;;;;;;;;;;;;;;;;;;;;;
2.01.2011;50.4;35.1;61.0;6.1;30.0;;;;;;;;;;;;;;;;;;;;;;
3.01.2011;55.2;37.8;52.4;13.6;30.0;;;;;;;;;;;;;;;;;;;;;;
4.01.2011;53.1;39.6;61.0;11.4;29.9;;;;;;;;;;;;;;;;;;;;;;
5.01.2011;53.6;40.3;62.7;4.9;29.9;;;;;;;;;;;;;;;;;;;;;;
6.01.2011;50.3;44.7;82.3;3.9;30.0;;;;;;;;;;;;;;;;;;;;;;
7.01.2011;50.2;47.2;90.2;7.2;30.0;;;;;;;;;;;;;;;;;;;;;;
8.01.2011;51.9;40.3;65.9;5.1;30.0;;;;;;;;;;;;;;;;;;;;;;
9.01.2011;49.9;35.9;66.0;3.4;30.1;;;;;;;;;;;;;;;;;;;;;;
10.01.2011;50.8;32.7;57.0;4.0;30.1;;;;;;;;;;;;;;;;;;;;;;
11.01.2011;47.0;28.4;62.9;3.4;30.1;;;;;;;;;;;;;;;;;;;;;;
12.01.2011;48.5;23.7;55.4;4.3;30.1;;;;;;;;;;;;;;;;;;;;;;
13.01.2011;51.0;25.0;38.3;11.7;30.0;;;;;;;;;;;;;;;;;;;;;;
14.01.2011;52.5;24.4;34.4;10.2;29.9;;;;;;;;;;;;;;;;;;;;;;
15.01.2011;49.4;22.7;48.0;4.2;29.9;;;;;;;;;;;;;;;;;;;;;;
16.01.2011;47.1;26.6;62.8;2.9;30.0;;;;;;;;;;;;;;;;;;;;;;
17.01.2011;51.3;20.3;48.9;8.4;30.0;;;;;;;;;;;;;;;;;;;;;;
18.01.2011;50.3;26.6;48.8;4.3;30.0;;;;;;;;;;;;;;;;;;;;;;
19.01.2011;48.2;23.4;60.8;3.3;30.0;;;;;;;;;;;;;;;;;;;;;;
20.01.2011;50.9;36.2;65.5;5.0;30.0;;;;;;;;;;;;;;;;;;;;;;
21.01.2011;50.7;39.8;69.5;2.5;30.1;;;;;;;;;;;;;;;;;;;;;;
22.01.2011;52.6;39.2;63.7;3.6;30.1;;;;;;;;;;;;;;;;;;;;;;
23.01.2011;52.4;38.4;62.3;2.6;30.1;;;;;;;;;;;;;;;;;;;;;;
24.01.2011;54.5;43.2;67.7;5.7;30.0;;;;;;;;;;;;;;;;;;;;;;
25.01.2011;51.8;46.7;84.6;8.9;29.9;;;;;;;;;;;;;;;;;;;;;;
26.01.2011;51.7;47.6;87.2;7.5;29.8;;;;;;;;;;;;;;;;;;;;;;
27.01.2011;51.2;45.2;80.1;6.1;29.9;;;;;;;;;;;;;;;;;;;;;;
28.01.2011;48.7;40.3;75.2;3.8;30.0;;;;;;;;;;;;;;;;;;;;;;
29.01.2011;50.5;44.6;80.7;7.7;29.7;;;;;;;;;;;;;;;;;;;;;;
30.01.2011;50.9;44.9;80.6;4.8;29.6;;;;;;;;;;;;;;;;;;;;;;
31.01.2011;48.8;25.6;44.5;8.5;29.7;;;;;;;;;;;;;;;;;;;;;;
1.02.2011;44.1;16.9;34.9;9.8;29.9;;;;;;;;;;;;;;;;;;;;;;
2.02.2011;42.4;16.5;38.0;6.7;30.0;;;;;;;;;;;;;;;;;;;;;;
3.02.2011;43.8;27.3;58.7;2.6;30.1;;;;;;;;;;;;;;;;;;;;;;
4.02.2011;51.4;21.2;40.3;9.6;30.0;;;;;;;;;;;;;;;;;;;;;;
5.02.2011;49.7;25.6;46.9;6.5;30.1;;;;;;;;;;;;;;;;;;;;;;
6.02.2011;47.7;31.0;59.8;4.2;30.1;;;;;;;;;;;;;;;;;;;;;;
7.02.2011;51.4;29.5;58.7;5.5;29.9;;;;;;;;;;;;;;;;;;;;;;
8.02.2011;56.7;31.1;40.7;6.9;29.9;;;;;;;;;;;;;;;;;;;;;;
9.02.2011;51.0;29.1;59.9;4.0;29.8;;;;;;;;;;;;;;;;;;;;;;
10.02.2011;52.8;29.1;46.9;8.1;29.7;;;;;;;;;;;;;;;;;;;;;;
11.02.2011;49.6;17.5;29.4;8.3;29.9;;;;;;;;;;;;;;;;;;;;;;
12.02.2011;48.3;32.2;58.3;3.7;30.0;;;;;;;;;;;;;;;;;;;;;;
13.02.2011;53.3;40.2;62.9;4.5;29.9;;;;;;;;;;;;;;;;;;;;;;
14.02.2011;53.3;42.8;70.0;5.5;29.8;;;;;;;;;;;;;;;;;;;;;;
15.02.2011;51.9;48.3;88.9;6.3;29.6;;;;;;;;;;;;;;;;;;;;;;
16.02.2011;56.3;38.8;62.9;5.6;29.7;;;;;;;;;;;;;;;;;;;;;;
17.02.2011;55.3;44.2;68.8;6.4;29.9;;;;;;;;;;;;;;;;;;;;;;
18.02.2011;55.8;45.8;71.2;5.1;30.0;;;;;;;;;;;;;;;;;;;;;;
19.02.2011;58.9;47.0;66.6;9.8;29.7;;;;;;;;;;;;;;;;;;;;;;
20.02.2011;51.9;47.8;86.8;8.4;29.5;;;;;;;;;;;;;;;;;;;;;;
21.02.2011;52.6;45.1;78.8;3.4;29.8;;;;;;;;;;;;;;;;;;;;;;
22.02.2011;54.9;48.6;79.7;5.5;29.9;;;;;;;;;;;;;;;;;;;;;;
23.02.2011;59.4;48.4;68.4;7.9;29.8;;;;;;;;;;;;;;;;;;;;;;
24.02.2011;58.0;48.6;73.0;4.8;29.9;;;;;;;;;;;;;;;;;;;;;;
25.02.2011;60.9;47.5;63.3;8.4;29.7;;;;;;;;;;;;;;;;;;;;;;
26.02.2011;55.1;46.8;75.7;5.4;29.7;;;;;;;;;;;;;;;;;;;;;;
27.02.2011;56.1;47.7;74.7;6.4;29.8;;;;;;;;;;;;;;;;;;;;;;
28.02.2011;54.0;48.3;82.7;6.9;29.9;;;;;;;;;;;;;;;;;;;;;;
1.03.2011;54.9;49.0;81.4;4.2;30.0;;;;;;;;;;;;;;;;;;;;;;
2.03.2011;57.2;46.0;70.5;5.0;30.1;;;;;;;;;;;;;;;;;;;;;;
3.03.2011;57.2;47.8;74.0;4.6;30.1;;;;;;;;;;;;;;;;;;;;;;
4.03.2011;56.9;46.5;71.2;4.2;30.0;;;;;;;;;;;;;;;;;;;;;;
5.03.2011;59.2;41.4;58.3;5.7;29.9;;;;;;;;;;;;;;;;;;;;;;
6.03.2011;54.9;44.3;67.8;7.7;29.8;;;;;;;;;;;;;;;;;;;;;;
7.03.2011;55.8;48.3;77.2;9.5;29.7;;;;;;;;;;;;;;;;;;;;;;
8.03.2011;54.9;49.7;83.9;7.1;29.7;;;;;;;;;;;;;;;;;;;;;;
9.03.2011;49.9;44.2;82.4;11.4;29.6;;;;;;;;;;;;;;;;;;;;;;
10.03.2011;45.2;39.7;81.8;7.2;29.8;;;;;;;;;;;;;;;;;;;;;;
11.03.2011;48.0;30.8;60.2;4.5;29.9;;;;;;;;;;;;;;;;;;;;;;
12.03.2011;51.0;27.6;48.3;4.6;30.1;;;;;;;;;;;;;;;;;;;;;;
13.03.2011;51.4;35.5;62.2;4.2;30.2;;;;;;;;;;;;;;;;;;;;;;
14.03.2011;54.2;41.4;66.2;4.4;30.2;;;;;;;;;;;;;;;;;;;;;;
15.03.2011;56.3;42.6;64.3;3.8;30.3;;;;;;;;;;;;;;;;;;;;;;
16.03.2011;57.8;40.9;60.2;3.7;30.2;;;;;;;;;;;;;;;;;;;;;;
17.03.2011;59.2;41.1;57.3;3.5;30.1;;;;;;;;;;;;;;;;;;;;;;
18.03.2011;60.5;46.7;63.3;2.8;29.9;;;;;;;;;;;;;;;;;;;;;;
19.03.2011;62.3;54.1;76.0;4.1;29.9;;;;;;;;;;;;;;;;;;;;;;
20.03.2011;59.2;54.5;84.5;5.0;29.9;;;;;;;;;;;;;;;;;;;;;;
21.03.2011;59.2;54.2;83.5;5.1;29.8;;;;;;;;;;;;;;;;;;;;;;
22.03.2011;59.6;44.5;60.0;6.4;29.8;;;;;;;;;;;;;;;;;;;;;;
23.03.2011;56.2;32.5;47.5;7.7;29.9;;;;;;;;;;;;;;;;;;;;;;
24.03.2011;57.8;28.8;36.7;7.5;29.9;;;;;;;;;;;;;;;;;;;;;;
25.03.2011;57.8;29.7;42.7;6.9;30.0;;;;;;;;;;;;;;;;;;;;;;
26.03.2011;57.9;41.7;58.7;5.8;30.1;;;;;;;;;;;;;;;;;;;;;;
27.03.2011;58.5;47.9;70.5;6.8;30.1;;;;;;;;;;;;;;;;;;;;;;
28.03.2011;59.2;49.2;71.8;6.7;30.0;;;;;;;;;;;;;;;;;;;;;;
29.03.2011;59.9;49.6;71.2;5.4;30.0;;;;;;;;;;;;;;;;;;;;;;
30.03.2011;60.9;50.9;72.8;4.3;30.0;;;;;;;;;;;;;;;;;;;;;;
31.03.2011;65.3;46.0;56.0;4.2;30.0;;;;;;;;;;;;;;;;;;;;;;
1.04.2011;69.8;44.1;41.6;5.7;29.9;;;;;;;;;;;;;;;;;;;;;;
2.04.2011;65.0;46.8;53.3;7.8;29.8;;;;;;;;;;;;;;;;;;;;;;
3.04.2011;62.5;47.7;61.3;6.1;29.8;;;;;;;;;;;;;;;;;;;;;;
4.04.2011;56.9;50.5;79.8;3.9;29.7;;;;;;;;;;;;;;;;;;;;;;
5.04.2011;59.2;52.5;79.4;5.8;29.7;;;;;;;;;;;;;;;;;;;;;;
6.04.2011;60.8;53.5;77.5;6.0;29.8;;;;;;;;;;;;;;;;;;;;;;
7.04.2011;61.2;50.1;69.0;5.0;29.8;;;;;;;;;;;;;;;;;;;;;;
8.04.2011;60.5;51.8;74.9;6.1;29.8;;;;;;;;;;;;;;;;;;;;;;
9.04.2011;63.0;55.6;78.2;10.2;29.7;;;;;;;;;;;;;;;;;;;;;;
10.04.2011;63.1;57.0;81.4;11.1;29.6;;;;;;;;;;;;;;;;;;;;;;
11.04.2011;59.5;47.8;66.9;9.5;29.6;;;;;;;;;;;;;;;;;;;;;;
12.04.2011;52.0;35.6;56.5;12.7;29.6;;;;;;;;;;;;;;;;;;;;;;
13.04.2011;53.9;34.8;54.9;4.5;29.9;;;;;;;;;;;;;;;;;;;;;;
14.04.2011;58.5;42.5;58.4;4.5;29.9;;;;;;;;;;;;;;;;;;;;;;
15.04.2011;61.0;46.7;63.3;4.9;29.9;;;;;;;;;;;;;;;;;;;;;;
16.04.2011;63.5;50.3;64.8;5.0;29.9;;;;;;;;;;;;;;;;;;;;;;
17.04.2011;67.5;48.9;55.3;3.9;29.9;;;;;;;;;;;;;;;;;;;;;;
18.04.2011;71.0;51.1;52.3;5.7;29.7;;;;;;;;;;;;;;;;;;;;;;
19.04.2011;65.3;55.0;70.2;6.3;29.7;;;;;;;;;;;;;;;;;;;;;;
20.04.2011;61.5;51.2;71.3;8.8;29.7;;;;;;;;;;;;;;;;;;;;;;
21.04.2011;62.3;48.4;63.8;5.1;29.8;;;;;;;;;;;;;;;;;;;;;;
22.04.2011;56.5;53.8;89.0;4.0;29.7;;;;;;;;;;;;;;;;;;;;;;
23.04.2011;59.9;55.0;84.2;5.3;29.8;;;;;;;;;;;;;;;;;;;;;;
24.04.2011;61.1;54.2;79.0;5.0;29.8;;;;;;;;;;;;;;;;;;;;;;
25.04.2011;58.8;48.9;72.0;4.8;29.8;;;;;;;;;;;;;;;;;;;;;;
26.04.2011;62.0;52.6;74.1;5.2;29.8;;;;;;;;;;;;;;;;;;;;;;
27.04.2011;68.1;52.7;62.6;4.4;29.8;;;;;;;;;;;;;;;;;;;;;;
28.04.2011;68.2;53.9;62.0;7.5;29.7;;;;;;;;;;;;;;;;;;;;;;
29.04.2011;66.8;58.0;74.0;6.4;29.5;;;;;;;;;;;;;;;;;;;;;;
30.04.2011;66.2;60.4;82.4;5.7;29.6;;;;;;;;;;;;;;;;;;;;;;
1.05.2011;66.6;59.7;79.2;6.4;29.8;;;;;;;;;;;;;;;;;;;;;;
2.05.2011;67.3;60.2;79.0;5.3;29.8;;;;;;;;;;;;;;;;;;;;;;
3.05.2011;66.8;57.0;72.2;5.0;29.8;;;;;;;;;;;;;;;;;;;;;;
4.05.2011;68.5;59.5;74.9;4.1;29.7;;;;;;;;;;;;;;;;;;;;;;
5.05.2011;67.6;60.1;78.0;6.4;29.7;;;;;;;;;;;;;;;;;;;;;;
6.05.2011;65.7;58.8;80.2;5.9;29.8;;;;;;;;;;;;;;;;;;;;;;
7.05.2011;65.3;58.1;78.9;4.1;29.8;;;;;;;;;;;;;;;;;;;;;;
8.05.2011;65.6;50.1;61.4;4.0;29.8;;;;;;;;;;;;;;;;;;;;;;
9.05.2011;67.2;54.8;66.3;5.0;29.8;;;;;;;;;;;;;;;;;;;;;;
10.05.2011;68.4;54.9;66.0;4.7;29.8;;;;;;;;;;;;;;;;;;;;;;
11.05.2011;67.5;57.5;72.7;5.8;29.7;;;;;;;;;;;;;;;;;;;;;;
12.05.2011;65.7;54.5;70.4;7.1;29.7;;;;;;;;;;;;;;;;;;;;;;
13.05.2011;61.5;53.8;76.7;6.2;29.7;;;;;;;;;;;;;;;;;;;;;;
14.05.2011;63.8;54.4;72.5;5.2;29.8;;;;;;;;;;;;;;;;;;;;;;
15.05.2011;63.9;56.3;77.9;5.6;29.8;;;;;;;;;;;;;;;;;;;;;;
16.05.2011;70.5;52.0;57.3;4.3;29.9;;;;;;;;;;;;;;;;;;;;;;
17.05.2011;76.3;50.1;43.0;6.2;29.9;;;;;;;;;;;;;;;;;;;;;;
18.05.2011;75.8;52.3;45.3;4.3;29.8;;;;;;;;;;;;;;;;;;;;;;
19.05.2011;71.7;61.5;71.7;6.4;29.9;;;;;;;;;;;;;;;;;;;;;;
20.05.2011;72.1;59.4;68.6;5.8;29.8;;;;;;;;;;;;;;;;;;;;;;
21.05.2011;70.7;59.4;69.4;7.1;29.8;;;;;;;;;;;;;;;;;;;;;;
22.05.2011;71.9;58.5;65.7;5.8;29.8;;;;;;;;;;;;;;;;;;;;;;
23.05.2011;73.3;55.8;59.0;5.3;29.8;;;;;;;;;;;;;;;;;;;;;;
24.05.2011;74.3;54.6;54.6;5.7;29.8;;;;;;;;;;;;;;;;;;;;;;
25.05.2011;74.5;60.6;64.1;5.6;29.8;;;;;;;;;;;;;;;;;;;;;;
26.05.2011;75.4;64.3;70.8;5.7;29.8;;;;;;;;;;;;;;;;;;;;;;
27.05.2011;74.7;65.2;74.3;4.6;29.8;;;;;;;;;;;;;;;;;;;;;;
28.05.2011;70.8;63.9;80.0;6.8;29.8;;;;;;;;;;;;;;;;;;;;;;
29.05.2011;71.3;62.1;74.9;5.4;29.8;;;;;;;;;;;;;;;;;;;;;;
30.05.2011;71.9;61.9;72.6;4.5;29.9;;;;;;;;;;;;;;;;;;;;;;
31.05.2011;73.7;62.4;69.6;4.0;29.9;;;;;;;;;;;;;;;;;;;;;;
1.06.2011;74.6;63.8;71.7;6.3;29.8;;;;;;;;;;;;;;;;;;;;;;
2.06.2011;73.8;64.1;73.7;6.5;29.8;;;;;;;;;;;;;;;;;;;;;;
3.06.2011;75.0;65.4;73.8;6.2;29.8;;;;;;;;;;;;;;;;;;;;;;
4.06.2011;75.6;66.0;74.1;5.1;29.8;;;;;;;;;;;;;;;;;;;;;;
5.06.2011;76.3;66.5;73.7;5.1;29.7;;;;;;;;;;;;;;;;;;;;;;
6.06.2011;77.5;67.3;72.7;5.8;29.7;;;;;;;;;;;;;;;;;;;;;;
7.06.2011;77.6;67.4;72.9;5.4;29.7;;;;;;;;;;;;;;;;;;;;;;
8.06.2011;77.7;68.5;75.2;5.8;29.7;;;;;;;;;;;;;;;;;;;;;;
9.06.2011;79.2;70.2;74.4;6.1;29.7;;;;;;;;;;;;;;;;;;;;;;
10.06.2011;78.9;70.7;76.3;5.8;29.6;;;;;;;;;;;;;;;;;;;;;;
11.06.2011;77.1;67.6;73.3;7.9;29.5;;;;;;;;;;;;;;;;;;;;;;
12.06.2011;74.4;66.5;77.3;7.3;29.6;;;;;;;;;;;;;;;;;;;;;;
13.06.2011;70.8;63.2;77.2;6.5;29.6;;;;;;;;;;;;;;;;;;;;;;
14.06.2011;72.8;63.9;74.3;5.7;29.7;;;;;;;;;;;;;;;;;;;;;;
15.06.2011;75.9;65.5;72.2;5.5;29.8;;;;;;;;;;;;;;;;;;;;;;
16.06.2011;75.5;66.0;74.6;5.0;29.8;;;;;;;;;;;;;;;;;;;;;;
17.06.2011;75.1;65.8;74.9;5.2;29.8;;;;;;;;;;;;;;;;;;;;;;
18.06.2011;75.1;65.6;74.3;6.0;29.7;;;;;;;;;;;;;;;;;;;;;;
19.06.2011;76.2;66.5;73.8;5.4;29.7;;;;;;;;;;;;;;;;;;;;;;
20.06.2011;78.9;67.3;69.9;5.3;29.7;;;;;;;;;;;;;;;;;;;;;;
21.06.2011;80.9;69.2;69.7;5.4;29.7;;;;;;;;;;;;;;;;;;;;;;
22.06.2011;81.5;65.6;62.9;6.5;29.7;;;;;;;;;;;;;;;;;;;;;;
23.06.2011;81.3;64.7;62.7;6.1;29.6;;;;;;;;;;;;;;;;;;;;;;
24.06.2011;80.9;65.4;62.0;4.9;29.6;;;;;;;;;;;;;;;;;;;;;;
25.06.2011;80.6;69.9;71.1;5.1;29.6;;;;;;;;;;;;;;;;;;;;;;
26.06.2011;79.5;70.4;73.9;6.8;29.5;;;;;;;;;;;;;;;;;;;;;;
27.06.2011;78.1;67.5;70.8;4.8;29.5;;;;;;;;;;;;;;;;;;;;;;
28.06.2011;76.0;65.3;70.5;4.7;29.6;;;;;;;;;;;;;;;;;;;;;;
29.06.2011;76.7;65.1;70.3;7.8;29.6;;;;;;;;;;;;;;;;;;;;;;
30.06.2011;75.7;63.5;67.5;6.8;29.7;;;;;;;;;;;;;;;;;;;;;;
1.07.2011;77.0;65.1;68.3;6.2;29.7;;;;;;;;;;;;;;;;;;;;;;
2.07.2011;77.3;67.1;72.0;5.4;29.7;;;;;;;;;;;;;;;;;;;;;;
3.07.2011;78.9;69.0;73.1;5.6;29.7;;;;;;;;;;;;;;;;;;;;;;
4.07.2011;80.0;70.8;73.3;5.7;29.7;;;;;;;;;;;;;;;;;;;;;;
5.07.2011;78.7;67.8;70.5;5.3;29.7;;;;;;;;;;;;;;;;;;;;;;
6.07.2011;79.5;69.5;71.5;5.3;29.6;;;;;;;;;;;;;;;;;;;;;;
7.07.2011;79.4;70.0;73.1;5.6;29.7;;;;;;;;;;;;;;;;;;;;;;
8.07.2011;80.5;70.8;72.7;4.4;29.7;;;;;;;;;;;;;;;;;;;;;;
9.07.2011;82.3;71.7;71.1;5.6;29.7;;;;;;;;;;;;;;;;;;;;;;
10.07.2011;82.8;72.6;74.2;6.0;29.6;;;;;;;;;;;;;;;;;;;;;;
11.07.2011;81.8;70.9;72.4;5.5;29.5;;;;;;;;;;;;;;;;;;;;;;
12.07.2011;82.3;71.8;72.3;4.8;29.5;;;;;;;;;;;;;;;;;;;;;;
13.07.2011;82.8;72.2;72.4;4.9;29.6;;;;;;;;;;;;;;;;;;;;;;
14.07.2011;82.6;72.5;73.6;4.9;29.6;;;;;;;;;;;;;;;;;;;;;;
15.07.2011;82.8;73.4;75.3;6.3;29.6;;;;;;;;;;;;;;;;;;;;;;
16.07.2011;83.6;73.7;74.2;6.5;29.6;;;;;;;;;;;;;;;;;;;;;;
17.07.2011;84.5;71.1;67.8;7.2;29.5;;;;;;;;;;;;;;;;;;;;;;
18.07.2011;84.5;74.2;73.3;6.5;29.5;;;;;;;;;;;;;;;;;;;;;;
19.07.2011;84.1;74.0;73.6;6.5;29.5;;;;;;;;;;;;;;;;;;;;;;
20.07.2011;84.0;73.2;72.1;5.9;29.5;;;;;;;;;;;;;;;;;;;;;;
21.07.2011;83.9;74.4;74.9;5.8;29.5;;;;;;;;;;;;;;;;;;;;;;
22.07.2011;83.9;74.5;75.3;5.7;29.5;;;;;;;;;;;;;;;;;;;;;;
23.07.2011;82.9;73.8;75.9;5.8;29.6;;;;;;;;;;;;;;;;;;;;;;
24.07.2011;83.8;73.3;73.0;5.4;29.5;;;;;;;;;;;;;;;;;;;;;;
25.07.2011;84.0;73.5;72.9;5.1;29.6;;;;;;;;;;;;;;;;;;;;;;
26.07.2011;82.3;71.5;71.9;4.7;29.8;;;;;;;;;;;;;;;;;;;;;;
27.07.2011;84.1;72.2;69.4;5.0;29.8;;;;;;;;;;;;;;;;;;;;;;
28.07.2011;83.5;73.8;74.3;4.7;29.6;;;;;;;;;;;;;;;;;;;;;;
29.07.2011;84.8;75.0;73.9;4.7;29.5;;;;;;;;;;;;;;;;;;;;;;
30.07.2011;85.0;74.9;73.6;4.3;29.6;;;;;;;;;;;;;;;;;;;;;;
31.07.2011;85.3;75.2;73.8;4.7;29.6;;;;;;;;;;;;;;;;;;;;;;
1.08.2011;84.8;74.5;73.5;5.4;29.6;;;;;;;;;;;;;;;;;;;;;;
2.08.2011;84.3;73.5;72.6;6.2;29.6;;;;;;;;;;;;;;;;;;;;;;
3.08.2011;84.3;72.9;70.3;5.8;29.6;;;;;;;;;;;;;;;;;;;;;;
4.08.2011;84.8;73.6;70.8;6.0;29.6;;;;;;;;;;;;;;;;;;;;;;
5.08.2011;84.5;74.9;74.7;6.8;29.6;;;;;;;;;;;;;;;;;;;;;;
6.08.2011;84.8;72.8;70.1;5.4;29.6;;;;;;;;;;;;;;;;;;;;;;
7.08.2011;85.3;73.6;71.0;5.6;29.6;;;;;;;;;;;;;;;;;;;;;;
8.08.2011;84.9;72.8;70.6;5.5;29.6;;;;;;;;;;;;;;;;;;;;;;
9.08.2011;84.5;72.8;70.6;5.3;29.6;;;;;;;;;;;;;;;;;;;;;;
10.08.2011;84.0;73.1;71.7;5.5;29.5;;;;;;;;;;;;;;;;;;;;;;
11.08.2011;83.8;73.8;73.8;6.0;29.5;;;;;;;;;;;;;;;;;;;;;;
12.08.2011;83.7;71.6;68.9;8.3;29.4;;;;;;;;;;;;;;;;;;;;;;
